Company Name,City,State,Location
1SPATIAL INC.,VIENNA,VIRGINIA,"38.9012225, -77.2652604"
22ND CENTURY TECHNOLOGIES INC,MC LEAN,VIRGINIA,"38.9338676, -77.1772604"
381 CONSTRUCTORS,OMAHA,NEBRASKA,"41.2565369, -95.9345034"
"3A, LLC",MCLEAN,VIRGINIA,"38.9338676, -77.1772604"
3M COMPANY,SAINT PAUL,MINNESOTA,"44.9537029, -93.0899578"
A. FINKL & SONS CO.,CHICAGO,ILLINOIS,"41.8781136, -87.6297982"
A.L. PHILPOTT MANUFACTURING EXTENSION PARTNERSHIP,MARTINSVILLE,VIRGINIA,"36.6915262, -79.8725386"
A29 FUNDING LLC,KANSAS CITY,MISSOURI,"39.0997265, -94.5785667"
A3 TECHNOLOGY INC.,EGG HARBOR CITY,NEW JERSEY,"39.5287882, -74.6476055"
"AAA COMPLETE BUILDING SERVICES, INC.",WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
"AAR ALLEN SERVICES, INC.",GARDEN CITY,NEW YORK,"40.7267682, -73.6342954"
AAR GOVERNMENT SERVICES INC,WOOD DALE,ILLINOIS,"41.9633625, -87.9789562"
"AAR MANUFACTURING, INC.",CADILLAC,MICHIGAN,"44.2519526, -85.40116189999999"
"AAR SUPPLY CHAIN, INC",WOOD DALE,ILLINOIS,"41.9633625, -87.9789562"
AB STAFFING SOLUTIONS LLC,GILBERT,ARIZONA,"33.3528264, -111.789027"
ABB INC,MIRAMAR,FLORIDA,"25.9860762, -80.30356019999999"
ABBOTT INFORMATICS CORPORATION,HOLLYWOOD,FLORIDA,"26.0098511, -80.159142"
ABBOTT LABORATORIES,NORTH CHICAGO,ILLINOIS,"42.325578, -87.8411818"
ABBOTT LABORATORIES INC,ABBOTT PARK,ILLINOIS,"42.3041814, -87.8963916"
ABBOTT MOLECULAR INC.,DES PLAINES,ILLINOIS,"42.0416537, -87.8876429"
"ABBTECH PROFESSIONAL RESOURCES, INC.",STERLING,VIRGINIA,"39.0066993, -77.4291298"
"ABLE AEROSPACE SERVICES, INC.",MESA,ARIZONA,"33.4151843, -111.8314724"
"ABM FACILITY SUPPORT SERVICES, LLC",COLUMBIA,MARYLAND,"39.2037144, -76.86104619999999"
ABM INDUSTRIES INC,NEW YORK,NEW YORK,"40.7127753, -74.0059728"
ABSG CONSULTING INC.,SPRING,TEXAS,"30.0799405, -95.41716009999999"
ABSHER CONSTRUCTION CO,PUYALLUP,WASHINGTON,"47.1853785, -122.2928974"
ABT ASSOCIATES INC,ROCKVILLE,MARYLAND,"39.0839973, -77.1527578"
ABT ASSOCIATES INC.,CAMBRIDGE,MASSACHUSETTS,"42.3666036, -71.1056916"
ACACIA CENTER FOR JUSTICE,WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
"ACC CONSTRUCTION CO, INC",AUGUSTA,GEORGIA,"33.4687314, -82.0283188"
"ACCENT CONTROLS, INC.",KANSAS CITY,MISSOURI,"39.0997265, -94.5785667"
ACCENTURE FEDERAL SERVICES LLC,ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
ACCESS INTERPRETING INC.,OAKTON,VIRGINIA,"38.8809451, -77.3008172"
ACCESS SUPPORTS FOR LIVING INC,MIDDLETOWN,NEW YORK,"41.4459271, -74.42293409999999"
ACCESS TO ADVANCED HEALTH INSTITUTE,SEATTLE,WASHINGTON,"47.6061389, -122.3328481"
ACCUITY ASSET VERIFICATION SERVICES INC.,EVANSTON,ILLINOIS,"42.0568276, -87.6872172"
ACCURAY INCORPORATED,SUNNYVALE,CALIFORNIA,"37.36883, -122.0363496"
"ACME AEROSPACE, INC.",TEMPE,ARIZONA,"33.4255104, -111.9400054"
"ACS CORRECTIONS OF TEXAS, LLC",EDMOND,OKLAHOMA,"35.6528323, -97.47809540000002"
"ACUITY - PT&C, LLC",ATLANTA,GEORGIA,"33.7501275, -84.3885209"
"ACUITY INTERNATIONAL, LLC",RESTON,VIRGINIA,"38.9586307, -77.35700279999999"
"ACUMEN SOLUTIONS, INC.",MC LEAN,VIRGINIA,"38.9338676, -77.1772604"
"ACUMEN, LLC",BURLINGAME,CALIFORNIA,"37.5778696, -122.34809"
ACV ENVIRONMENTAL SERVICES INC,AVENEL,NEW JERSEY,"40.5803818, -74.28514690000002"
AD HOC LLC,WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
ADAMS AND ASSOCIATES INC,RENO,NEVADA,"39.529919, -119.8142691"
ADC ENGINEERING INC,HANAHAN,SOUTH CAROLINA,"32.9305786, -80.0031833"
A-DEC INC,NEWBERG,OREGON,"45.3003268, -122.9761318"
ADELANTE DEVELOPMENT CENTER INC,ALBUQUERQUE,NEW MEXICO,"35.0843859, -106.650422"
ADERAS INC,RESTON,VIRGINIA,"38.9586307, -77.35700279999999"
ADM RICE INC,WHITE PLAINS,NEW YORK,"41.0332209, -73.7650415"
"ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND, THE",NEW ORLEANS,LOUISIANA,"29.9508941, -90.07583559999999"
ADTRAV CORPORATION,HOOVER,ALABAMA,"33.4053867, -86.8113781"
"ADVANCED ACCELERATOR APPLICATIONS USA, INC.",NEW YORK,NEW YORK,"40.7127753, -74.0059728"
"ADVANCED AV, LLC",WEST CHESTER,PENNSYLVANIA,"39.959884, -75.6062135"
"ADVANCED BIOSCIENCE LABORATORIES, INC.",ROCKVILLE,MARYLAND,"39.0839973, -77.1527578"
"ADVANCED CONCEPTS AND TECHNOLOGIES INTERNATIONAL, LLC",WACO,TEXAS,"31.5575916, -97.12899220000001"
"ADVANCED MANAGEMENT TECHNOLOGY, INC.",ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
"ADVANCED SYSTEMS/SUPPORTABILITY ENGINEERING TECHNOLOGIES AND TOOLS, INC.",MANASSAS,VIRGINIA,"38.7512726, -77.4706769"
ADVANCED TECHNOLOGY INTERNATIONAL,SUMMERVILLE,SOUTH CAROLINA,"33.0188816, -80.1758171"
"ADVANCED TECHNOLOGY SYSTEMS COMPANY, INC. (OF VIRGINIA)",MC LEAN,VIRGINIA,"38.9338676, -77.1772604"
ADVANCING RESILIENCE IN COMMUNITIES,MOON TOWNSHIP,PENNSYLVANIA,"40.51697670000001, -80.22134770000001"
ADVANTAGED SOLUTIONS INCORPORATED,POTOMAC,MARYLAND,"39.0181651, -77.2085914"
ADVANTOR SYSTEMS CORPORATION,ORLANDO,FLORIDA,"28.5383832, -81.3789269"
AECOM - B&V CIVIL WORKS JV,ROANOKE,VIRGINIA,"37.2709116, -79.94494949999999"
AECOM - GARVER KANSAS CITY DESIGN SERVICES JV,COLUMBUS,OHIO,"39.9625112, -83.0032218"
AECOM - HDR JOINT VENTURE DESIGN TEAM JV,CLIFTON,NEW JERSEY,"40.8654493, -74.1610268"
AECOM + TETRA TECH JOINT VENTURE,BOSTON,MASSACHUSETTS,"42.3555076, -71.0565364"
AECOM GARVER FTW MILCON JV,HOUSTON,TEXAS,"29.7600771, -95.37011079999999"
"AECOM SERVICES, INC.",ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
"AECOM TECHNICAL SERVICES, INC.",LOS ANGELES,CALIFORNIA,"34.0549076, -118.242643"
AECOM-B&V LAKES AND RIVERS JV,LOUISVILLE,KENTUCKY,"38.2468618, -85.7663724"
AECOM-BAKER NAVFAC ATLANTIC A-E DESIGN JV,ROANOKE,VIRGINIA,"37.2709116, -79.94494949999999"
AECOM-BAKER-CARDNO NAVFAC ATLANTIC PLANNING JV,ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
AEGIS SCIENCES CORPORATION,NASHVILLE,TENNESSEE,"36.1626638, -86.7816016"
"AEP ENERGY, INC.",CHICAGO,ILLINOIS,"41.8781136, -87.6297982"
AERIS LLC,LOUISVILLE,COLORADO,"39.977763, -105.1319296"
"AERO PRECISION REPAIR & OVERHAUL COMPANY, INC.",DEERFIELD BEACH,FLORIDA,"26.3184123, -80.09976569999999"
AERO TURBINE INC,STOCKTON,CALIFORNIA,"37.9575104, -121.2924737"
"AEROCONTROLEX GROUP, INC.",PAINESVILLE,OHIO,"41.7244885, -81.245657"
"AEROJET ROCKETDYNE OF DE, INC",CANOGA PARK,CALIFORNIA,"34.2083086, -118.5975318"
"AEROJET ROCKETDYNE, INC.",JUPITER,FLORIDA,"26.9318533, -80.1023696"
"AEROJET ROCKETDYNE, INC.",REDMOND,WASHINGTON,"47.6739881, -122.121512"
"AEROSPACE & COMMERCIAL TECHNOLOGIES, LLC",FORT WORTH,TEXAS,"32.7554883, -97.3307658"
"AEROVIRONMENT, INC.",SIMI VALLEY,CALIFORNIA,"34.2694474, -118.781482"
"AEVEX AEROSPACE, LLC",SOLANA BEACH,CALIFORNIA,"32.991155, -117.2711481"
"AFFILIATED ENGINEERS METRO DC, INC.",ROCKVILLE,MARYLAND,"39.0839973, -77.1527578"
"AFFORDABLE INTERIOR SYSTEMS, INC.",LEOMINSTER,MASSACHUSETTS,"42.5250906, -71.759794"
AGEISS INC.,LAKEWOOD,COLORADO,"39.7047095, -105.0813734"
AGFA HEALTHCARE CORPORATION,GREENVILLE,SOUTH CAROLINA,"34.8484984, -82.40001579999999"
AGFA US CORP.,GREENVILLE,SOUTH CAROLINA,"34.8484984, -82.40001579999999"
"AGILE DEFENSE, LLC",RESTON,VIRGINIA,"38.9586307, -77.35700279999999"
AGILENT TECHNOLOGIES INC,WILMINGTON,DELAWARE,"39.744655, -75.5483909"
AGILITI HEALTH INC,EDEN PRAIRIE,MINNESOTA,"44.8546856, -93.47078599999999"
AGRIBUSINESS DEVELOPMENT CORPORATION,HONOLULU,HAWAII,"21.3098845, -157.8581401"
AGROPUR INC.,APPLETON,WISCONSIN,"44.2622712, -88.40710469999999"
AGUSTAWESTLAND PHILADELPHIA CORPORATION,PHILADELPHIA,PENNSYLVANIA,"39.9525839, -75.1652215"
"AH/BC NAVY JV, LLC",NEWPORT NEWS,VIRGINIA,"37.0870821, -76.4730122"
"AINS, LLC",GAITHERSBURG,MARYLAND,"39.1439689, -77.2016062"
"AIR CENTER HELICOPTERS, INC.",BURLESON,TEXAS,"32.5424289, -97.3230849"
"AIR CRUISERS COMPANY, LLC",WALL TOWNSHIP,NEW JERSEY,"40.1703777, -74.0928666"
AIRBORNE SYSTEMS NORTH AMERICA OF CA INC.,SANTA ANA,CALIFORNIA,"33.7454725, -117.867653"
AIRBORNE TACTICAL ADVANTAGE CO LLC,NEWPORT NEWS,VIRGINIA,"37.0870821, -76.4730122"
AIRBOSS DEFENSE GROUP LLC,JESSUP,MARYLAND,"39.1492746, -76.7752493"
"AIRBUS HELICOPTERS, INC.",GRAND PRAIRIE,TEXAS,"32.7459645, -96.99778459999999"
"AIRBUS U.S. SPACE & DEFENSE, INC.",ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
"AIRCRAFT WHEEL AND BRAKE, LLC",AVON,OHIO,"41.4517093, -82.03542250000001"
"AIRGAS USA, LLC",LONG BEACH,CALIFORNIA,"33.7700504, -118.1937395"
"AKIMA GLOBAL SERVICES, LLC",HERNDON,VIRGINIA,"38.9695545, -77.3860976"
"AKIMA SUPPORT OPERATIONS, LLC",COLORADO SPRINGS,COLORADO,"38.8353142, -104.8216009"
"ALABAMA CONTROLS, INC.",HOOVER,ALABAMA,"33.4053867, -86.8113781"
ALABAMA DEPARTMENT OF HEALTH,MONTGOMERY,ALABAMA,"32.3792233, -86.3077368"
ALABAMA DEPT OF REHABILITATION SERVICES,MONTGOMERY,ALABAMA,"32.3792233, -86.3077368"
ALABAMA POWER COMPANY,BIRMINGHAM,ALABAMA,"33.5185892, -86.8103567"
ALASKA AEROSPACE CORPORATION,ANCHORAGE,ALASKA,"61.2175758, -149.8996785"
"ALASKA AIRLINES, INC.",SEATTLE,WASHINGTON,"47.6061389, -122.3328481"
"ALASKA MARINE LINES, INC.",SEATTLE,WASHINGTON,"47.6061389, -122.3328481"
ALBERICI CONSTRUCTORS INC,SAINT LOUIS,MISSOURI,"38.6270025, -90.19940419999999"
ALCATRAZ ISLAND SERVICES LLC,SAN FRANCISCO,CALIFORNIA,"37.7749295, -122.4194155"
ALCOHOLISM SERVICES OF KNOXVILLE INC,KNOXVILLE,TENNESSEE,"35.965266, -83.923304"
"ALEXION PHARMACEUTICALS, INC.",NEW HAVEN,CONNECTICUT,"41.308274, -72.9278835"
ALGOOD FOOD CO,LOUISVILLE,KENTUCKY,"38.2468618, -85.7663724"
ALION SCIENCE AND TECHNOLOGY CORPORATION,MC LEAN,VIRGINIA,"38.9338676, -77.1772604"
ALION SCIENCE AND TECHNOLOGY CORPORATION,BEAVERCREEK,OHIO,"39.7092262, -84.06326849999999"
"ALL POINTS LOGISTICS, LLC",MERRITT ISLAND,FLORIDA,"28.3180688, -80.6659842"
"ALLCLEAR AEROSPACE & DEFENSE, INC.",MIRAMAR,FLORIDA,"25.9860762, -80.30356019999999"
ALLEN & OVERY LLP,NEW YORK,NEW YORK,"40.7127753, -74.0059728"
ALLIANT TECHSYSTEMS OPERATIONS LLC,FORT WORTH,TEXAS,"32.7554883, -97.3307658"
ALLIANT TECHSYSTEMS OPERATIONS LLC,NORTHRIDGE,CALIFORNIA,"34.2354576, -118.5361381"
ALLIANT TECHSYSTEMS OPERATIONS LLC,PLYMOUTH,MINNESOTA,"45.0105194, -93.4555093"
ALLISON TRANSMISSION INC,INDIANAPOLIS,INDIANA,"39.76909, -86.158018"
